track_id,artist_id,artist_name,release,title,duration,loudness,tempo,familiarity,hotness
TRBBLXX128F92C3D8C,ARK7ZPW1187B99C170,Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul,Callas Sings Puccini,Turandot (2008 Digital Remaster)_ Act III - Scene I: Nessum dorma!,172.90404,-13.963,109.721,0.61285865,0.36034468
TRATMXM128F1457ACB,ARK7ZPW1187B99C170,Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini,Verdi - La Traviata (Highlights),La Traviata - highlights (1990 Digital Remaster): Ah_ non più (Alfredo/Violetta),112.14322,-20.02,96.775,0.61285865,0.36034468
TRATRDP128F4261581,AR5R7791187FB3A8C3,Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,Puccini: La Bohème - Highlights,Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),34.55955,-22.785,130.319,0.47738713,0.36361086
TRBBQYU128F4269447,ARK7ZPW1187B99C170,Maria Callas/Gianni Raimondi/Gabriella Carturan/Plinio Clabassi/Nicola Rossi-Lemeni/Coro del Teatro alla Scala_ Milano/Noberto Mola/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,Donizetti: Anna Bolena,Anna Bolena (1997 Digital Remaster): Alcun potria ascoltarti,102.68689,-14.447,111.643,0.61285865,0.36034468
TRATESI128F932F694,AR1X2H01187B98CCF2,Maurice Chevalier / Françoise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,Christiné: Dede,Dialogue et final si j'avais su,213.55057,-20.541,164.618,0.50245315,0.39158532
TRAEEBP128EF3673A7,ARYISOC1187B9998F1,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),541.2306,-15.586,109.051,0.48448557,0.37395278
TRAMXNX128F4281619,ARK7ZPW1187B99C170,Maria Callas/Giuseppe di Stefano/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,Verdi : Un ballo in maschera,Un ballo in maschera (2002 Digital Remaster)_ Act 2: Oh_ qual soave brivido (Riccardo/Amelia),233.40363,-16.618,76.731,0.61285865,0.36034468
TRBCEDT128F4260EC5,ARV7J871187FB4F8B6,Patrizia Pace/Waltraud Meier/Frank Lopardo/James Morris/Swedish Radio Choir/Stockholm Chamber Choir/Berliner Philharmoniker/Riccardo Muti,Mozart - Sacred Choral Works,Mass No. 19 in D minor_ 'Requiem' K626: Lacrimosa,212.4273,-20.274,37.42,0.028237062,0.22613107
TRAVTPJ128F4265425,AR7QL2911C8A416805,Göteborgs Symfoniker / Neeme Järvi,"Tchaikovsky: Overture ""1812""; Marche slave / Borodin: In the Steppes; Polovtsian Dances / Rimsky-Korsakov: Russian Easter; Capriccio",Russian Easter Festival_ Overture_ Op.36,904.8028,-21.394,146.354,0.3281298,0.30424637
TRAEGMN128F42690CD,AR5R7791187FB3A8C3,Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,Massenet: Werther,Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon âme a reconnu votre âme(Werther/Charlotte),55.40526,-23.73,109.158,0.47738713,0.36361086
